rank,title,original_title,year,rating,vote_count,director,genres,mood_tags,imdb_id
73,新世纪福音战士剧场版：Air / 真心为你,新世紀エヴァンゲリオン劇場版 Air／まごころを、君に,1997,8.269,1748,鹤卷和哉,动画|科幻|剧情|奇幻,非常tension|非常fear|紧张刺激,tt0169858
74,触不可及,Intouchables,2011,8.271,17981,埃里克·托莱达诺,剧情|喜剧,非常joy|非常sadness,tt1675434
75,现代启示录,Apocalypse Now,1979,8.271,8749,弗朗西斯·科波拉,剧情|战争,非常fear|紧张刺激,tt0078788
76,边境奇袭,Contraataque,2025,8.269,767,Chava Cartas,动作|冒险|惊悚,非常tension|非常joy,tt23648788
77,萤火之森,蛍火の杜へ,2011,8.269,1180,大森贵弘,爱情|动画|奇幻,非常hope|值得一看|情感真挚,tt2061702
78,GIVEN 被赠与的未来 剧场版,映画 ギヴン,2020,8.3,409,山口光,动画|剧情|音乐|爱情,非常joy|非常love|有些anger,tt11802992
79,城市之光,City Lights,1931,8.3,2353,查理·卓别林,喜剧|剧情|爱情,值得推荐|非常love|情感丰富,tt0021749
80,光荣之路,Paths of Glory,1957,8.259,3137,斯坦利·库布里克,战争|剧情,紧张刺激|非常fear|非常sadness,tt0050825
81,七号房的礼物,7. Koğuştaki Mucize,2019,8.3,4497,Mehmet Ada Öztekin,剧情,值得推荐|非常joy|情感丰富,tt10431500
82,狮子王,The Lion King,1994,8.256,19173,罗杰·艾勒斯,家庭|动画|剧情|冒险,值得推荐|非常love|情感丰富,tt0110357
83,洞,Le Trou,1960,8.3,531,Jacques Becker,剧情|惊悚|犯罪,非常anger|非常tension|非常sadness,tt0054407
84,海上钢琴师,La leggenda del pianista sull'oceano,1998,8.247,2366,朱塞佩·托纳多雷,剧情|音乐,引人深思|情感强烈|非常sadness,tt0120731
85,老男孩,올드보이,2003,8.245,9375,朴赞郁,剧情|惊悚|悬疑|动作,非常anger|非常joy|非常loneliness,tt0364569
86,青春猪头少年不会梦到怀梦美少女,青春ブタ野郎はゆめみる少女の夢を見ない,2019,8.242,569,增井壮一,动画|爱情|剧情|奇幻,非常anger|值得一看|情感真挚,tt9881586
87,我想吃掉你的胰脏,君の膵臓をたべたい,2018,8.242,1687,牛岛新一郎,动画|剧情|爱情,非常anger|值得一看|情感真挚,tt7236034
88,云上情歌,Clouds,2020,8.24,1037,贾斯汀·贝尔杜尼,音乐|剧情|爱情,非常love|非常sadness,tt6473066
89,一年中的生活,Life in a Year,2020,8.24,1943,Mitja Okorn,剧情|爱情,非常love|非常sadness,tt6598238
90,复仇者联盟4：终局之战,Avengers: Endgame,2019,8.238,26959,乔·罗素,冒险|科幻|动作,值得推荐|非常joy|情感丰富,tt4154796
91,复仇者联盟3：无限战争,Avengers: Infinity War,2018,8.236,31176,安东尼·罗素,冒险|动作|科幻,非常hope|非常joy|非常tension,tt4154756
