movie_id,title,year,rank,anger,fear,hope,inspiration,joy,loneliness,love,peace,sadness,tension
8587,狮子王,1994,82,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
29259,洞,1960,83,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333
10376,海上钢琴师,1998,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
670,老男孩,2003,85,0.5,0.0,0.0,0.0,0.167,0.167,0.0,0.0,0.0,0.167
572154,青春猪头少年不会梦到怀梦美少女,2019,86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
504253,我想吃掉你的胰脏,2018,87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
630566,云上情歌,2020,88,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
447362,一年中的生活,2020,89,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
299534,复仇者联盟4：终局之战,2019,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
299536,复仇者联盟3：无限战争,2018,91,0.0,0.0,0.333,0.0,0.333,0.0,0.0,0.0,0.0,0.333
603,黑客帝国,1999,92,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
508965,克劳斯：圣诞节的秘密,2019,93,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
568332,泰勒·斯威夫特：“举世盛名”巡回演唱会,2018,94,0.0,0.0,0.333,0.333,0.167,0.0,0.0,0.0,0.167,0.0
527641,五尺天涯,2019,95,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
654299,从天而降,2019,96,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
490132,绿皮书,2018,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25237,自己去看,1985,98,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
857,拯救大兵瑞恩,1998,99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,角斗士,2000,100,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
24188,安逸人生,1962,101,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.333,0.0
110420,狼的孩子雨和雪,2012,102,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
265177,妈咪,2014,103,0.0,0.0,0.333,0.0,0.667,0.0,0.0,0.0,0.0,0.0
92060,迈克尔·杰克逊：颤栗,1983,104,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
995133,男孩、鼹鼠、狐狸和马,2022,105,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16869,无耻混蛋,2009,106,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333
618344,黑暗正义联盟：天启星战争,2020,107,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37257,控方证人,1957,108,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333
635302,鬼灭之刃剧场版：无限列车篇,2020,109,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315162,穿靴子的猫2,2022,110,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
803796,K-POP：猎魔女团,2025,111,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
694,闪灵,1980,112,0.0,0.5,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
1124,致命魔术,2006,113,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283566,福音战士新剧场版：终,2021,114,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25
50014,相助,2011,115,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,星球大战4：新希望,1977,116,0.0,0.0,0.333,0.0,0.333,0.0,0.0,0.0,0.0,0.333
441130,狼行者,2020,117,0.0,0.0,0.0,0.0,0.444,0.0,0.222,0.333,0.0,0.0
11324,禁闭岛,2010,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
354912,寻梦环游记,2017,119,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16672,砂之女,1964,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
284,桃色公寓,1960,121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
290098,小姐,2016,122,0.0,0.0,0.0,0.0,0.667,0.0,0.333,0.0,0.0,0.0
313106,神秘博士：博士之日,2013,123,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
829402,奥特曼：崛起,2024,124,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
324786,血战钢锯岭,2016,125,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
1160164,泰勒·斯威夫特：时代巡回演唱会,2023,126,0.0,0.0,0.333,0.333,0.167,0.0,0.0,0.0,0.167,0.0
68718,被解救的姜戈,2012,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
522924,我在雨中等你,2019,128,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
620683,我的母亲有话说,2019,129,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
185,发条橙,1971,130,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.667
77,记忆碎片,2000,131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
5156,偷自行车的人,1948,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
629,非常嫌疑犯,1995,133,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333
476292,朝花夕誓,2018,134,0.333,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0
348,异形,1979,135,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
537061,宇宙小子大电影,2019,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
490,第七封印,1957,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
361743,Top Gun: Maverick,2022,138,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26451,对一个不容怀疑的公民的调查,1970,139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
20941,无知的声音,2005,140,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18148,东京物语,1953,141,0.0,0.0,0.167,0.0,0.667,0.0,0.0,0.167,0.0,0.0
1422,无间道风云,2006,142,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
81481,熔炉,2011,143,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
111,疤面煞星,1983,144,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.4
489,心灵捕手,1997,145,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426,迷魂记,1958,146,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
399106,鹬,2016,147,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667
37165,楚门的世界,1998,148,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
289,卡萨布兰卡,1943,149,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
851644,20世纪少女,2022,150,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0
10098,寻子遇仙记,1921,151,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
592350,我的英雄学院：英雄崛起,2019,152,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.333
517814,何以为家,2018,153,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
606856,多哥,2019,154,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
872,雨中曲,1952,155,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
797,假面,1966,156,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
458220,Palmer,2021,157,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
666,中央车站,1998,158,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
280,终结者2：审判日,1991,159,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
693134,沙丘2,2024,160,0.333,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0
20914,我的朋友们,1975,161,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9702,黑帮悍将,1993,162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,出租车司机,1976,163,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
575813,少年的你,2019,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
475557,小丑,2019,165,0.0,0.0,0.333,0.0,0.333,0.0,0.0,0.0,0.0,0.333
812225,剧场版 黑色四叶草 魔法帝之剑,2023,166,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.333
935,奇爱博士,1964,167,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
600,全金属外壳,1987,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1103621,姥姥的外孙,2024,169,0.0,0.0,0.0,0.0,0.889,0.0,0.0,0.0,0.111,0.0
823219,猫猫的奇幻漂流,2024,170,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
810693,咒术回战 0 剧场版,2021,171,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422,八部半,1963,172,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
795607,白蛇2：青蛇劫起,2021,173,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.333
610892,紫罗兰永恒花园外传：永远与自动手记人偶,2019,174,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
500,落水狗,1992,175,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
38288,"“I Corti” di Aldo, Giovanni e Giacomo",1996,176,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
406997,奇迹男孩,2017,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3780,红胡子,1965,178,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1398,潜行者,1979,179,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
531428,燃烧女子的肖像,2019,180,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.4,0.0,0.0
508442,心灵奇旅,2020,181,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10681,机器人总动员,2008,182,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
100,两杆大烟枪,1998,183,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
791373,扎克·施奈德版正义联盟,2021,184,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
46738,焦土之城,2010,185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
996,双重赔偿,1944,186,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
398818,请以你的名字呼唤我,2017,187,0.0,0.0,0.333,0.0,0.0,0.0,0.667,0.0,0.0,0.0
19,大都会,1927,188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
146233,囚徒,2013,189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
755812,奇迹少女：纽约篇,2020,190,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1026227,还有明天,2023,191,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
600354,困在时间里的父亲,2020,192,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20334,街角的商店,1940,193,0.0,0.0,0.0,0.0,0.571,0.0,0.429,0.0,0.0,0.0
614,野草莓,1957,194,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103663,狩猎,2012,195,0.333,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0
24382,圣母街上的大人物,1958,196,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
843,花样年华,2000,197,0.0,0.0,0.0,0.0,0.222,0.0,0.333,0.0,0.222,0.222
655,德州巴黎,1984,198,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
